Country Code,Year,Fertility Value,Future Fertility,Replacement Reached,Low Surpassed,Population/1000,(Population/1000)^2,pcap GDP,logpercapGDP,Life Expectancy at Birth,Life Exp Sq,% Urban pop,Paid Parental Leave,FemTravel,FemDiv,FemBankAccnt
TCD,1960,6.25,6.432,1,1,3001.604,9009626.573,104.4717189,2.01899874,38.02,1445.5204,6.695,0,1,1,1
TGO,1960,6.521,6.971,1,1,1580.508,2498005.538,76.63869662,1.88444811,40.297,1623.848209,10.098,0,1,1,0
THA,1960,6.147,5.903,1,1,27397.208,750607006.2,100.767475,2.003320376,54.701,2992.199401,19.672,0,1,0,1
TTO,1960,5.264,3.802,1,1,847.973,719058.2087,631.7065847,2.800515404,62.222,3871.577284,34.155,0,0,0,1
TUR,1960,6.366,5.778,1,1,27472.339,754729410.1,509.4239634,2.70707937,45.369,2058.346161,31.515,0,1,1,1
UGA,1960,6.999,7.117,1,1,6767.092,45793534.14,62.50962537,1.795946896,44.359,1967.720881,4.417,0,0,0,1
URY,1960,2.88,2.844,1,1,2538.648,6444733.668,489.350725,2.689620236,67.783,4594.535089,80.241,0,1,1,1
USA,1960,3.654,2.464,1,1,180671,32642010241,3007.123445,3.478151257,69.77073171,4867.955003,69.996,0,1,1,1
VCT,1960,7.224,6.345,1,1,80.97,6556.1409,161.3752968,2.207837054,59.26,3511.7476,25.943,0,0,0,1
VEN,1960,6.358,5.614,1,1,8141.839,66289542.3,955.4464181,2.980206337,59.831,3579.748561,61.613,0,1,0,1
ZAF,1960,6.041,5.782,1,1,17099.836,292404391.2,443.0099197,2.646413451,48.406,2343.140836,46.619,0,1,1,0
ZMB,1960,7.115,7.332,1,1,3070.78,9429689.808,232.1885645,2.365840826,46.687,2179.675969,18.145,0,0,0,1
ZWE,1960,7.158,7.411,1,1,3776.679,14263304.27,278.8138468,2.445314338,53.019,2811.014361,12.608,0,1,0,0
AFG,1961,7.45,7.45,1,1,9169.406,84078006.39,59.86089999,1.777143242,32.962,1086.493444,8.684,0,0,0,1
AUS,1961,3.54,2.886,1,1,10483,109893289,1877.616638,3.273606925,70.97317073,5037.190964,81.941,0,0,1,1
AUT,1961,2.78,2.49,1,1,7086.299,50215633.52,1031.815004,3.013601839,69.57731707,4841.003051,64.814,0,1,1,1
BDI,1961,6.985,7.239,1,1,2852.438,8136402.544,71.16718821,1.852279807,41.592,1729.894464,2.115,0,1,0,1
BEL,1961,2.63,2.27,1,1,9183.948,84344900.87,1350.197673,3.130397355,70.52097561,4973.208001,92.554,0,1,1,0
BEN,1961,6.339,6.71,1,1,2465.865,6080490.198,95.57223223,1.98033173,37.727,1423.326529,9.856,0,0,1,1
BFA,1961,6.316,6.593,1,1,4894.58,23956913.38,71.55818009,1.854659287,34.897,1217.800609,4.796,0,1,1,1
BGD,1961,6.761,6.945,1,1,49362.834,2436689381,97.5952917,1.989428866,45.97,2113.2409,5.278,0,0,0,1
BHS,1961,4.495,3.576,1,1,115.119,13252.38416,1651.317673,3.217830629,64.885,4210.063225,60.454,0,1,0,1
BLZ,1961,6.48,6.316,1,1,94.7,8968.09,316.4136295,2.500255182,60.531,3664.001961,53.72,0,0,1,1
BOL,1961,6.335,6.045,1,1,3728.954,13905097.93,109.061304,2.037670686,42.15,1776.6225,37.059,0,1,1,0
BRA,1961,6.031,5.12,1,1,74311.338,5522174955,232.4805462,2.366386617,54.634,2984.873956,47.122,0,1,0,0
BWA,1961,6.632,6.67,1,1,512.688,262848.9853,64.17613957,1.807373589,49.684,2468.499856,3.097,0,0,1,0
CAF,1961,5.867,5.958,1,1,1526.057,2328849.967,80.68806373,1.906809294,36.715,1347.991225,20.751,0,1,1,1
CAN,1961,3.753,2.334,1,1,18271,333829441,2240.433039,3.350331969,71.34609756,5090.265637,69.668,0,1,1,1
CHE,1961,2.52,2.19,1,1,5434.294,29531551.28,1971.316323,3.294756318,71.64487805,5132.988551,71.243,0,1,1,1
CHL,1961,4.655,3.902,1,1,8303.804,68953160.87,555.1344026,2.744398142,57.616,3319.603456,68.66,0,1,1,0
CHN,1961,5.905,5.986,1,1,660330,4.36036E+11,75.80583793,1.879702653,44.051,1940.490601,16.708,0,1,1,1
CIV,1961,7.72,7.927,1,1,3631.547,13188133.61,170.2430505,2.231069393,36.948,1365.154704,18.911,0,0,1,1
CMR,1961,5.705,6.157,1,1,5285.015,27931383.55,123.5148081,2.091719028,42.255,1785.485025,14.488,0,0,1,1
COD,1961,6.015,6.187,1,1,15637.7,244537661.3,197.3913592,2.295328137,41.312,1706.681344,22.523,0,1,1,0
COG,1961,5.922,6.241,1,1,1043.119,1088097.248,145.4059788,2.162582264,46.338,2147.210244,32.318,0,0,1,1
COL,1961,6.712,5.506,1,1,16567.817,274492560.1,274.0522642,2.437833394,57.813,3342.342969,47.702,0,1,0,1
CRI,1961,6.651,4.852,1,1,1381.187,1907677.529,355.0027488,2.550231716,61.018,3723.196324,34.329,0,1,0,1
DOM,1961,7.487,6.375,1,1,3406.282,11602757.06,192.0276125,2.283363682,52.306,2735.917636,31.112,0,1,0,0
DZA,1961,7.573,7.656,1,1,11336.336,128512513.9,214.7719801,2.331977621,46.599,2171.466801,31.797,0,0,0,1
ECU,1961,6.7,6.252,1,1,4674.176,21847921.28,375.2213046,2.574287489,53.547,2867.281209,34.466,0,1,0,0
ESP,1961,2.77,2.86,1,1,30739.25,944901490.6,450.0532892,2.65326394,69.4804878,4827.538186,57.303,0,0,0,0
FIN,1961,2.72,1.93,0,1,4461.005,19900565.61,1327.427224,3.12301072,68.84414634,4739.516485,56.321,0,1,1,1
FJI,1961,6.281,4.71,1,1,407.244,165847.6755,287.2670559,2.458285823,61.172,3742.013584,30.248,0,0,1,1
FRA,1961,2.87,2.62,1,1,47240.526,2231667297,1428.046001,3.154742197,70.11707317,4916.40395,62.607,0,1,1,1
GAB,1961,4.462,5.021,1,1,505.793,255826.5588,331.4358018,2.520399419,40.082,1606.566724,18.33,0,0,1,1
GBR,1961,2.78,2.51,1,1,52800,2787840000,1472.385714,3.168021595,70.87804878,5023.697799,78.374,0,0,0,1
GHA,1961,6.789,6.957,1,1,6848.291,46899089.62,190.218883,2.279253627,46.279,2141.745841,23.797,0,1,1,1
GRC,1961,2.13,2.36,1,1,8398.05,70527243.8,590.7800548,2.771425825,68.54863415,4698.915243,56.453,0,-8,-8,-8
GTM,1961,6.859,6.664,1,1,4251.911,18078747.15,253.22729,2.403510507,47.219,2229.633961,31.768,0,1,0,1
GUY,1961,6.305,5.517,1,1,589.274,347243.8471,315.3854595,2.498841667,60.441,3653.114481,29.049,0,0,0,1
HKG,1961,5.03,3.448,1,1,3168.1,10036857.61,436.7544115,2.6402373,67.5487561,4562.83445,85.293,0,1,1,1
HND,1961,7.448,7.334,1,1,2096.407,4394922.31,169.9097551,2.230218314,46.953,2204.584209,23.318,0,1,0,1
HTI,1961,6.318,5.846,1,1,3941.956,15539017.11,68.76433933,1.837363275,42.182,1779.321124,15.975,0,0,0,0
IND,1961,5.902,5.648,1,1,459642.166,2.11271E+11,85.35430099,1.93122541,42.027,1766.268729,18.032,0,1,1,1
IRL,1961,3.78,3.83,1,1,2824.4,7977235.36,739.2764064,2.868806846,69.97826829,4896.958033,45.393,0,1,0,1
IRN,1961,6.924,6.528,1,1,22480.371,505367080.3,196.9250906,2.294301054,45.512,2071.342144,34.389,0,0,0,1
ISL,1961,3.88,2.99,1,1,179.029,32051.38284,1418.12587,3.15171478,73.50341463,5402.751963,80.803,0,1,1,1
ISR,1961,3.858,3.782,1,1,2185,4774225,1436.384439,3.157270692,72.00658537,5184.948336,77.985,0,1,0,1
ITA,1961,2.44,2.47,1,1,50536.35,2553922671,887.3367446,2.948088466,69.7602439,4866.491629,59.856,0,1,0,1
JAM,1961,5.529,5.617,1,1,1651.067,2726022.238,453.0578344,2.656153645,65.133,4242.307689,34.5,0,1,0,1
JPN,1961,2.05,2.13,1,1,94055,8846343025,568.9077427,2.755041844,68.31,4666.2561,64.213,0,1,1,1
KEN,1961,7.998,8.103,1,1,8377.693,70185740,94.65129268,1.97612655,47.417,2248.371889,7.565,0,1,1,0
KHM,1961,6.964,6.574,1,1,5872.968,34491753.13,109.4603502,2.039256833,41.366,1711.145956,10.293,0,1,1,1
KOR,1961,5.929,4.474,1,1,25765.673,663869905.1,93.82864905,1.972335463,56.01497561,3137.677493,28.531,0,1,1,1
LKA,1961,5.421,4.477,1,1,10111.639,102245243.3,142.8381424,2.154844194,59.769,3572.333361,16.592,0,1,1,1
LSO,1961,5.829,5.807,1,1,852.892,727424.7637,41.85674859,1.621765489,48.162,2319.578244,3.96,0,1,1,0
MAR,1961,7.072,6.736,1,1,12710.587,161559021.9,158.9235801,2.20118834,48.88,2389.2544,29.849,0,0,0,1
MDG,1961,7.301,7.286,1,1,5223.561,27285589.52,133.8477609,2.12661111,40.444,1635.717136,10.971,0,0,1,1
MEX,1961,6.768,6.684,1,1,38966.049,1518352975,363.3932709,2.560376881,57.668,3325.598224,51.59,0,1,0,1
MMR,1961,6.073,6.029,1,1,22211.626,493356329.6,26.30835691,1.420093725,42.961,1845.647521,19.566,0,0,1,1
MRT,1961,6.787,6.791,1,1,875.586,766650.8434,181.8360961,2.259680099,45.132,2036.897424,7.435,0,1,0,1
MWI,1961,6.964,7.262,1,1,3747.758,14045690.03,46.58158517,1.668214263,36.934,1364.120356,4.489,0,0,1,1
MYS,1961,6.42,5.167,1,1,8417.821,70859710.39,225.9335935,2.35398081,60.515,3662.065225,27.241,0,1,0,1
NER,1961,7.473,7.558,1,1,3486.322,12154441.09,139.3403234,2.144076814,35.141,1234.889881,5.896,0,1,0,1
NGA,1961,6.351,6.425,1,1,46063.57,2121852481,96.97902998,1.986677836,37.431,1401.079761,15.633,0,0,1,1
NIC,1961,7.31,6.902,1,1,1829.772,3348065.572,131.4506526,2.118762746,47.636,2269.188496,40.03,0,1,0,1
NLD,1961,3.22,2.75,1,1,11638.712,135459617,1159.392357,3.064230433,73.65268293,5424.717702,60.02,0,1,1,1
NOR,1961,2.94,2.7,1,1,3609.8,13030656.04,1560.324931,3.193215048,73.5504878,5409.674256,50.998,0,1,1,1
NPL,1961,5.96,5.934,1,1,10267.26,105416627.9,51.81124873,1.71442406,35.941,1291.755481,3.571,0,1,0,1
NZL,1961,3.975,3.269,1,1,2419.7,5854948.09,2343.292213,3.369826449,70.98536585,5038.922165,76.525,0,1,1,1
PAK,1961,6.6,6.6,1,1,46065.229,2122005323,89.40903403,1.951381403,46.197,2134.162809,22.501,0,0,0,1
PAN,1961,5.846,5.279,1,1,1167.12,1362169.094,513.2516793,2.710330379,61.38,3767.5044,41.853,0,1,0,0
PER,1961,6.923,6.418,1,1,10446.618,109131827.6,277.5687634,2.443370591,48.628,2364.682384,47.398,0,1,1,1
PHL,1961,7.087,6.376,1,1,27161.052,737722745.7,300.8420416,2.478338527,61.509,3783.357081,30.555,0,0,0,0
PNG,1961,6.278,6.187,1,1,2297.052,5276447.891,106.5853255,2.027697416,39.542,1563.569764,4.024,0,0,1,1
PRI,1961,4.547,3.248,1,1,2399.722,5758665.677,777.2150274,2.890541189,68.94317073,4753.160791,45.933,0,1,1,1
PRT,1961,3.21,3.12,1,1,8929.316,79732684.23,382.729947,2.582892445,63.68636585,4055.953196,35.344,0,0,1,0
RWA,1961,8.194,8.217,1,1,2998.334,8990006.776,40.68926811,1.609479878,42.941,1843.929481,2.654,0,1,1,1
SDN,1961,6.713,6.878,1,1,7769.475,60364741.78,133.0822461,2.124120122,48.618,2363.709924,11.232,0,0,0,1
SEN,1961,7.038,7.259,1,1,3295.28,10858870.28,321.3612396,2.506993494,38.38,1473.0244,23.645,0,1,1,1
SGP,1961,5.41,3.22,1,1,1702.4,2898165.76,449.1510713,2.65239244,66.08719512,4367.517359,100,0,1,0,1
SLE,1961,6.171,6.465,1,1,2352.37,5533644.617,139.3635697,2.144149262,31.925,1019.205625,17.903,0,1,1,0
SOM,1961,7.252,7.209,1,1,2814.125,7919299.516,68.10639697,1.833187905,37.374,1396.815876,17.835,0,1,0,1
SUR,1961,6.594,5.79,1,1,295.913,87564.50357,363.9583256,2.561051658,60.038,3604.561444,47.297,0,1,1,0
SWE,1961,2.21,1.93,0,1,7519.998,56550369.92,2288.921701,3.359630937,73.47439024,5398.486022,73.295,0,1,1,1
SWZ,1961,6.774,6.867,1,1,343.346,117886.4757,125.3114919,2.097990901,43.951,1931.690401,4.335,0,1,0,0
SYR,1961,7.497,7.574,1,1,4721.893,22296273.5,200.1834798,2.301428234,52.568,2763.394624,37.399,0,1,0,1
TCD,1961,6.268,6.477,1,1,3060.365,9365833.933,109.1292505,2.037941173,38.279,1465.281841,6.962,0,1,1,1
TGO,1961,6.57,7.029,1,1,1597.523,2552079.736,79.12028165,1.898287825,40.941,1676.165481,10.94,0,1,1,0
THA,1961,6.151,5.764,1,1,28224.186,796604675.4,107.498001,2.031400388,55.233,3050.684289,19.781,0,1,0,1
TTO,1961,5.177,3.658,1,1,864.814,747903.2546,676.4011784,2.830204356,62.652,3925.273104,35.004,0,0,0,1
TUR,1961,6.304,5.7,1,1,28146.909,792248486.3,283.8282843,2.453055672,46.093,2124.564649,32.064,0,1,1,1
UGA,1961,7.019,7.118,1,1,6983.824,48773797.66,63.22096734,1.800861137,44.955,2020.952025,4.617,0,0,0,1
URY,1961,2.886,2.869,1,1,2571.682,6613548.309,601.7030027,2.779382179,68.007,4624.952049,80.462,0,1,1,1
USA,1961,3.62,2.456,1,1,183691,33742383481,3066.562869,3.486651873,70.27073171,4937.975735,70.377,0,1,1,1
VCT,1961,7.155,6.185,1,1,82.168,6751.580224,170.3812109,2.2314217,59.891,3586.931881,26.394,0,0,0,1
VEN,1961,6.298,5.469,1,1,8439.261,71221126.23,970.3563984,2.986931274,60.377,3645.382129,62.875,0,1,0,1
ZAF,1961,6.028,5.728,1,1,17524.533,307109256.9,454.9620132,2.657975137,48.777,2379.195729,46.793,0,1,1,0
ZMB,1961,7.169,7.349,1,1,3164.33,10012984.35,220.0420671,2.342505716,47.084,2216.903056,18.951,0,0,0,1
ZWE,1961,7.215,7.415,1,1,3905.038,15249321.78,280.8286629,2.448441432,53.483,2860.431289,12.821,0,1,0,0
AFG,1962,7.45,7.45,1,1,9351.442,87449467.48,58.4580087,1.766844018,33.471,1120.307841,8.976,0,0,0,1
ARG,1962,3.09,3.079,1,1,21153.042,447451185.9,1155.890717,3.062916776,65.269,4260.042361,74.767,0,1,0,0
AUS,1962,3.442,2.859,1,1,10742,115390564,1854.656834,3.268263564,70.94243902,5032.829655,82.228,0,0,1,1
AUT,1962,2.8,2.29,1,1,7129.864,50834960.66,1087.834243,3.036562726,69.3095122,4803.808481,64.863,0,1,1,1
BDI,1962,7.028,7.249,1,1,2907.32,8452509.582,73.43533082,1.865905056,41.907,1756.196649,2.154,0,1,0,1
BEL,1962,2.59,2.25,1,1,9220.578,85019058.65,1438.523233,3.15791688,70.2195122,4930.779893,92.679,0,1,1,0
BEN,1962,6.394,6.748,1,1,2502.897,6264493.393,94.46449724,1.975268618,38.188,1458.323344,10.47,0,0,1,1
BFA,1962,6.344,6.623,1,1,4960.328,24604853.87,76.52054931,1.883778079,35.369,1250.966161,4.893,0,1,1,1
BGD,1962,6.794,6.947,1,1,50752.15,2575780730,100.1221296,2.000530078,46.557,2167.554249,5.498,0,0,0,1
BHS,1962,4.45,3.536,1,1,121.092,14663.27246,1752.840006,3.243742277,65.011,4226.430121,61.193,0,1,0,1
BLZ,1962,6.46,6.299,1,1,97.392,9485.201664,327.0999965,2.51468054,61.092,3732.232464,53.41,0,0,1,1
BOL,1962,6.309,6.004,1,1,3802.996,14462778.58,116.9249682,2.06790726,42.49,1805.4001,37.357,0,1,1,0
BRA,1962,5.981,4.972,1,1,76514.329,5854442542,251.3483174,2.400275982,55.13,3039.3169,48.099,0,1,0,0
BWA,1962,6.649,6.645,1,1,523.777,274342.3457,68.05034896,1.832830357,50.171,2517.129241,3.134,0,0,1,0
CAF,1962,5.891,5.958,1,1,1551.908,2408418.44,80.21271167,1.904243198,37.19,1383.0961,21.418,0,1,1,1
CAN,1962,3.681,2.258,1,1,18614,346480996,2268.585346,3.355755122,71.36707317,5093.259133,70.494,0,1,1,1
CHE,1962,2.58,2.1,1,1,5573.815,31067413.65,2131.391652,3.32866326,71.19609756,5068.884308,71.539,0,1,1,1
