event_date,Armed clash,Shelling/artillery/missile attack,Remote explosive/landmine/IED,Air/drone strike,Disrupted weapons use
10/25/2022,16,53,3,17,2
10/26/2022,23,81,4,1,7
10/27/2022,22,101,0,2,4
10/28/2022,9,68,0,3,1
10/29/2022,20,115,2,5,2
10/30/2022,23,73,2,5,1
10/31/2022,8,74,3,3,3
11/1/2022,27,97,4,2,2
11/2/2022,24,133,4,6,8
11/3/2022,22,119,3,10,7
11/4/2022,23,76,0,0,4
11/5/2022,24,102,0,2,4
11/6/2022,27,82,2,3,3
11/7/2022,25,75,2,1,1
11/8/2022,24,90,3,5,1
11/9/2022,21,104,11,8,7
11/10/2022,26,101,3,5,7
11/11/2022,27,85,8,0,0
11/12/2022,27,72,2,2,0
11/13/2022,21,108,5,5,3
11/14/2022,18,113,4,1,2
11/15/2022,17,107,0,0,4
11/16/2022,20,103,2,5,7
11/17/2022,21,110,3,6,8
11/18/2022,17,90,1,1,0
11/19/2022,17,85,0,1,3
11/20/2022,22,88,0,0,1
11/21/2022,31,124,1,0,3
11/22/2022,22,73,1,0,1
11/23/2022,16,117,1,8,4
11/24/2022,27,79,2,5,0
11/25/2022,29,74,1,2,0
11/26/2022,9,90,1,5,1
11/27/2022,19,84,2,0,1
11/28/2022,19,93,1,2,1
11/29/2022,15,100,2,7,0
11/30/2022,26,90,1,6,1
12/1/2022,24,153,2,0,2
12/2/2022,21,104,1,5,0
12/3/2022,23,57,0,0,3
12/4/2022,24,90,2,0,2
12/5/2022,22,105,0,10,2
12/6/2022,17,82,0,5,1
12/7/2022,25,125,4,3,5
12/8/2022,18,111,2,12,3
12/9/2022,16,85,0,0,0
12/10/2022,11,85,1,2,1
12/11/2022,12,96,0,2,0
12/12/2022,15,79,3,0,0
12/13/2022,12,71,1,0,1
12/14/2022,9,119,2,4,7
12/15/2022,23,94,3,2,1
12/16/2022,11,61,0,0,6
12/17/2022,10,89,2,0,1
12/18/2022,15,71,1,1,0
12/19/2022,9,80,0,7,3
12/20/2022,14,77,3,16,3
12/21/2022,17,93,2,2,2
12/22/2022,22,92,2,0,4
12/23/2022,11,83,1,4,0
12/24/2022,15,109,1,0,0
12/25/2022,16,58,0,0,0
12/26/2022,8,95,0,0,0
12/27/2022,16,67,0,0,0
12/28/2022,18,79,2,2,1
12/29/2022,11,126,1,10,9
12/30/2022,19,80,0,0,4
12/31/2022,17,98,0,0,4
1/1/2023,15,119,0,0,2
1/2/2023,19,109,1,4,5
1/3/2023,14,58,2,0,3
1/4/2023,23,103,2,1,2
1/5/2023,20,90,1,3,2
1/6/2023,25,56,1,0,0
1/7/2023,21,79,1,2,4
1/8/2023,18,83,3,2,1
1/9/2023,20,84,0,1,1
1/10/2023,15,77,1,1,1
1/11/2023,22,89,0,0,1
1/12/2023,24,102,0,0,2
1/13/2023,26,71,1,0,0
1/14/2023,17,97,0,7,3
1/15/2023,19,88,1,1,2
1/16/2023,22,113,0,0,1
1/17/2023,18,92,0,0,1
1/18/2023,24,105,2,1,1
1/19/2023,24,134,3,0,1
1/20/2023,18,79,2,1,1
1/21/2023,20,111,3,4,1
1/22/2023,14,72,0,0,1
1/23/2023,21,108,0,0,1
1/24/2023,18,133,1,2,1
1/25/2023,14,113,0,3,2
1/26/2023,20,116,1,1,4
1/27/2023,15,92,0,0,0
1/28/2023,16,99,1,2,0
1/29/2023,12,76,0,4,1
1/30/2023,13,109,1,1,2
1/31/2023,9,95,1,0,1
